t,e_line,u_L,u_R,v,omega
0,0,0.52,0.52,0.48,0
0.01,0.000188484397154082,0.52,0.52,0.48,0
0.02,0.000376901826699345,0.52,0.52,0.48,0
0.03,0.000565185344820245,0.52,0.52,0.48,0
0.04,0.000753268055279327,0.52,0.52,0.48,0
0.05,0.000941083133185143,0.52,0.52,0.48,0
0.06,0.00112856384873482,0.52,0.52,0.48,0
0.07,0.00131564359092283,0.52,0.52,0.48,0
0.08,0.00150225589120757,0.52,0.52,0.48,0
0.09,0.00168833444712734,0.52,0.52,0.48,0
0.1,0.00187381314585725,0.52,0.52,0.48,0
0.11,0.00205862608769881,0.52,0.52,0.48,0
0.12,0.00224270760949381,0.52,0.52,0.48,0
0.13,0.00242599230795407,0.52,0.52,0.48,0
0.14,0.00260841506289897,0.52,0.52,0.48,0
0.15,0.00278991106039229,0.52,0.52,0.48,0
0.16,0.00297041581577035,0.52,0.52,0.48,0
0.17,0.00314986519655305,0.52,0.52,0.48,0
0.18,0.00332819544522987,0.52,0.52,0.48,0
0.19,0.00350534320191259,0.52,0.52,0.48,0
0.2,0.00368124552684678,0.52,0.52,0.48,0
0.21,0.00385583992277397,0.52,0.52,0.48,0
0.22,0.00402906435713663,0.52,0.52,0.48,0
0.23,0.00420085728411806,0.52,0.52,0.48,0
0.24,0.00437115766650933,0.52,0.52,0.48,0
0.25,0.00453990499739547,0.52,0.52,0.48,0
0.26,0.00470703932165333,0.52,0.52,0.48,0
0.27,0.00487250125725332,0.52,0.52,0.48,0
0.28,0.00503623201635761,0.52,0.52,0.48,0
0.29,0.00519817342620709,0.52,0.52,0.48,0
0.3,0.00535826794978997,0.52,0.52,0.48,0
0.31,0.0055164587062843,0.52,0.52,0.48,0
0.32,0.00567268949126757,0.52,0.52,0.48,0
0.33,0.00582690479668576,0.52,0.52,0.48,0
0.34,0.00597904983057519,0.52,0.52,0.48,0
0.35,0.00612907053652977,0.52,0.52,0.48,0
0.36,0.006276913612907,0.52,0.52,0.48,0
0.37,0.00642252653176584,0.52,0.52,0.48,0
0.38,0.00656585755752956,0.52,0.52,0.48,0
0.39,0.0067068557653672,0.52,0.52,0.48,0
0.4,0.00684547105928689,0.52,0.52,0.48,0
0.41,0.00698165418993473,0.52,0.52,0.48,0
