t,e_line,u_L,u_R,v,omega
0.0000,0.050000,0.549250,0.750750,0.422500,1.007500
0.0100,0.050000,0.549000,0.751000,0.422500,1.010000
0.0200,0.050101,0.547541,0.752459,0.422500,1.024595
0.0300,0.050302,0.545876,0.754124,0.422500,1.041243
0.0400,0.050607,0.543990,0.756010,0.422500,1.060100
0.0500,0.051015,0.541878,0.758122,0.422500,1.081221
0.0600,0.051529,0.539533,0.760467,0.422500,1.104669
0.0700,0.052151,0.536949,0.763051,0.422500,1.130513
0.0800,0.052883,0.534118,0.765882,0.422500,1.158824
0.0900,0.053728,0.531032,0.768968,0.422500,1.189679
0.1000,0.054689,0.527684,0.772316,0.422500,1.223162
0.1100,0.055767,0.524064,0.775936,0.422500,1.259360
0.1200,0.056968,0.520163,0.779837,0.422500,1.298365
0.1300,0.058293,0.515972,0.784028,0.422500,1.340276
0.1400,0.059747,0.511480,0.788520,0.422500,1.385196
0.1500,0.061333,0.506677,0.793323,0.422500,1.433234
0.1600,0.063056,0.501550,0.798450,0.422500,1.484505
0.1700,0.064919,0.496087,0.803913,0.422500,1.539127
0.1800,0.066929,0.490277,0.809723,0.422500,1.597227
0.1900,0.069089,0.484107,0.815893,0.422500,1.658934
0.2000,0.071405,0.477562,0.822438,0.422500,1.724385
0.2100,0.073881,0.470628,0.829372,0.422500,1.793719
0.2200,0.076525,0.463292,0.836708,0.422500,1.867083
0.2300,0.079341,0.455538,0.844462,0.422500,1.944625
0.2400,0.082335,0.447350,0.852650,0.422500,2.026499
0.2500,0.085515,0.438714,0.861286,0.422500,2.112863
0.2600,0.088886,0.429613,0.870387,0.422500,2.203875
0.2700,0.092455,0.420030,0.879970,0.422500,2.299697
0.2800,0.096229,0.409951,0.890049,0.422500,2.400491
0.2900,0.100216,0.399358,0.900642,0.422500,2.506419
0.3000,0.104421,0.388236,0.911764,0.422500,2.617641
0.3100,0.108852,0.376569,0.923431,0.422500,2.734313
0.3200,0.113516,0.364341,0.935659,0.422500,2.856586
0.3300,0.118421,0.351540,0.948460,0.422500,2.984604
0.3400,0.123572,0.338150,0.961850,0.422500,3.118500
0.3500,0.128977,0.324161,0.975839,0.422500,3.258392
0.3600,0.134641,0.309562,0.990438,0.422500,3.404385
0.3700,0.140571,0.294344,1.000000,0.420662,3.528280
0.3800,0.146772,0.278503,1.000000,0.415513,3.607487
0.3900,0.153245,0.262060,1.000000,0.410170,3.689698
0.4000,0.159989,0.245065,1.000000,0.404646,3.774673
0.4100,0.167001,0.227529,1.000000,0.398947,3.862357
0.4200,0.174277,0.209465,1.000000,0.393076,3.952677
0.4300,0.181813,0.190890,1.000000,0.387039,4.045551
0.4400,0.189602,0.171824,1.000000,0.380843,4.140879
0.4500,0.197639,0.152290,1.000000,0.374494,4.238549
0.4600,0.205915,0.132314,1.000000,0.368002,4.338431
0.4700,0.214421,0.111925,1.000000,0.361376,4.440377
0.4800,0.223148,0.091156,1.000000,0.354626,4.544221
0.4900,0.232083,0.070044,1.000000,0.347764,4.649778
0.5000,0.241212,0.048631,1.000000,0.340805,4.756843
0.5100,0.250521,0.026962,1.000000,0.333763,4.865190
0.5200,0.259994,0.005086,1.000000,0.326653,4.974570
0.5300,0.269611,-0.016943,1.000000,0.319494,5.084714
0.5400,0.279352,-0.039066,1.000000,0.312303,5.195332
0.5500,0.289196,-0.061222,1.000000,0.305103,5.306111
0.5600,0.299118,-0.083343,1.000000,0.297913,5.416716
0.5700,0.309092,-0.105359,1.000000,0.290758,5.526794
0.5800,0.319090,-0.127194,1.000000,0.283662,5.635972
0.5900,0.329083,-0.148772,1.000000,0.276649,5.743859
0.6000,0.339039,-0.170010,1.000000,0.269747,5.850049
0.6100,0.348925,-0.190824,1.000000,0.262982,5.954122
