t,e_line,u_L,u_R,v,omega
1.0400,0.309339,-0.008634,1.000000,0.322194,5.043172
1.0500,0.299342,0.009886,1.000000,0.328213,4.950572
1.0600,0.289368,0.028151,1.000000,0.334149,4.859244
1.0700,0.279441,0.046129,1.000000,0.339992,4.769357
1.0800,0.269586,0.063786,1.000000,0.345731,4.681068
1.0900,0.259822,0.081096,1.000000,0.351356,4.594520
1.1000,0.250170,0.098031,1.000000,0.356860,4.509843
1.1100,0.240648,0.114569,1.000000,0.362235,4.427156
1.1200,0.231274,0.130687,1.000000,0.367473,4.346566
1.1300,0.222062,0.146366,1.000000,0.372569,4.268171
1.1400,0.213029,0.161589,1.000000,0.377516,4.192057
1.1500,0.204187,0.176339,1.000000,0.382310,4.118306
1.1600,0.195549,0.190603,1.000000,0.386946,4.046987
1.1700,0.187125,0.204367,1.000000,0.391419,3.978165
1.1800,0.178927,0.217620,1.000000,0.395727,3.911898
1.1900,0.170962,0.230353,1.000000,0.399865,3.848236
1.2000,0.163240,0.242555,1.000000,0.403830,3.787226
1.2100,0.155768,0.254218,1.000000,0.407621,3.728911
1.2200,0.148553,0.265335,1.000000,0.411234,3.673327
1.2300,0.141602,0.275898,1.000000,0.414667,3.620509
1.2400,0.134919,0.285903,1.000000,0.417918,3.570487
1.2500,0.128510,0.295342,1.000000,0.420986,3.523289
1.2600,0.122378,0.304212,0.995788,0.422500,3.457883
1.2700,0.116529,0.312506,0.987494,0.422500,3.374936
1.2800,0.110964,0.320243,0.979757,0.422500,3.297571
1.2900,0.105682,0.327443,0.972557,0.422500,3.225573
1.3000,0.100684,0.334109,0.965891,0.422500,3.158913
1.3100,0.095967,0.340244,0.959756,0.422500,3.097564
1.3200,0.091531,0.345850,0.954150,0.422500,3.041504
1.3300,0.087374,0.350929,0.949071,0.422500,2.990714
1.3400,0.083496,0.355482,0.944518,0.422500,2.945183
1.3500,0.079896,0.359510,0.940490,0.422500,2.904903
1.3600,0.076571,0.363012,0.936988,0.422500,2.869876
1.3700,0.073523,0.365989,0.934011,0.422500,2.840107
1.3800,0.070748,0.368439,0.931561,0.422500,2.815612
1.3900,0.068248,0.370359,0.929641,0.422500,2.796410
1.4000,0.066021,0.371747,0.928253,0.422500,2.782531
1.4100,0.064068,0.372599,0.927401,0.422500,2.774013
1.4200,0.062388,0.372910,0.927090,0.422500,2.770898
1.4300,0.060982,0.372676,0.927324,0.422500,2.773240
1.4400,0.059851,0.371890,0.928110,0.422500,2.781100
1.4500,0.058996,0.370545,0.929455,0.422500,2.794546
1.4600,0.058419,0.368635,0.931365,0.422500,2.813655
1.4700,0.058120,0.366149,0.933851,0.422500,2.838511
1.4800,0.058103,0.363079,0.936921,0.422500,2.869208
1.4900,0.058370,0.359416,0.940584,0.422500,2.905844
1.5000,0.058924,0.355147,0.944853,0.422500,2.948526
1.5100,0.059767,0.350263,0.949737,0.422500,2.997368
1.5200,0.060904,0.344751,0.955249,0.422500,3.052486
1.5300,0.062338,0.338599,0.961401,0.422500,3.114006
1.5400,0.064073,0.331795,0.968205,0.422500,3.182055
1.5500,0.066114,0.324324,0.975676,0.422500,3.256761
1.5600,0.068466,0.316174,0.983826,0.422500,3.338257
1.5700,0.071132,0.307333,0.992667,0.422500,3.426674
1.5800,0.074119,0.297786,1.000000,0.421781,3.511069
1.5900,0.077432,0.287523,1.000000,0.418445,3.562387
1.6000,0.081073,0.276543,1.000000,0.414876,3.617286
1.6100,0.085044,0.264882,1.000000,0.411087,3.675590
1.6200,0.089344,0.252542,1.000000,0.407076,3.737290
1.6300,0.093973,0.239526,1.000000,0.402846,3.802372
1.6400,0.098930,0.225837,1.000000,0.398397,3.870813
1.6500,0.104213,0.211484,1.000000,0.393732,3.942582
1.6600,0.109821,0.196472,1.000000,0.388854,4.017638
1.6700,0.115751,0.180814,1.000000,0.383764,4.095932
1.6800,0.122000,0.164520,1.000000,0.378469,4.177400
1.6900,0.128563,0.147606,1.000000,0.372972,4.261968
1.7000,0.135436,0.130091,1.000000,0.367279,4.349547
1.7100,0.142611,0.111993,1.000000,0.361398,4.440033
1.7200,0.150083,0.093339,1.000000,0.355335,4.533306
1.7300,0.157843,0.074154,1.000000,0.349100,4.629229
1.7400,0.165880,0.054471,1.000000,0.342703,4.727644
1.7500,0.174184,0.034325,1.000000,0.336156,4.828375
1.7600,0.182742,0.013755,1.000000,0.329470,4.931226
1.7700,0.191540,-0.007195,1.000000,0.322661,5.035977
1.7800,0.200561,-0.028477,1.000000,0.315745,5.142387
1.7900,0.209789,-0.050038,1.000000,0.308738,5.250191
1.8000,0.219202,-0.071820,1.000000,0.301659,5.359099
1.8100,0.228779,-0.093760,1.000000,0.294528,5.468800
1.8200,0.238497,-0.115791,1.000000,0.287368,5.578955
1.8300,0.248329,-0.137841,1.000000,0.280202,5.689207
1.8400,0.258247,-0.159834,1.000000,0.273054,5.799172
1.8500,0.268222,-0.181689,1.000000,0.265951,5.908446
1.8600,0.278221,-0.203321,1.000000,0.258921,6.016606
1.8700,0.288211,-0.224642,1.000000,0.251991,6.123211
1.8800,0.298154,-0.245561,1.000000,0.245193,6.227806
1.8900,0.308014,-0.265985,1.000000,0.238555,6.329923
1.9000,0.317751,-0.285818,1.000000,0.232109,6.429088
1.9100,0.327324,-0.304964,1.000000,0.225887,6.524820
1.9200,0.336692,-0.323328,1.000000,0.219918,6.616641
1.9300,0.345811,-0.340816,1.000000,0.214235,6.704078
1.9400,0.354640,-0.357333,1.000000,0.208867,6.786667
1.9500,0.363134,-0.372792,1.000000,0.203843,6.863961
1.9600,0.371250,-0.387107,1.000000,0.199190,6.935535
1.9700,0.378947,-0.400198,1.000000,0.194936,7.000989
1.9800,0.386183,-0.411991,1.000000,0.191103,7.059954
1.9900,0.392918,-0.422420,1.000000,0.187713,7.112102
2.0000,0.399115,-0.431428,1.000000,0.184786,7.157140
2.0100,0.404739,-0.438965,1.000000,0.182336,7.194827
2.0200,0.409757,-0.444993,1.000000,0.180377,7.224965
2.0300,0.414140,-0.449482,1.000000,0.178918,7.247411
2.0400,0.417863,-0.452415,1.000000,0.177965,7.262073
2.0500,0.420904,-0.453783,1.000000,0.177521,7.268915
2.0600,0.423246,-0.453591,1.000000,0.177583,7.267954
2.0700,0.424875,-0.451852,1.000000,0.178148,7.259260
2.0800,0.425784,-0.448591,1.000000,0.179208,7.242956
2.0900,0.425968,-0.443843,1.000000,0.180751,7.219213
2.1000,0.425429,-0.437650,1.000000,0.182764,7.188249
2.1100,0.424170,-0.430065,1.000000,0.185229,7.150325
2.1200,0.422202,-0.421148,1.000000,0.188127,7.105739
2.1300,0.419539,-0.410965,1.000000,0.191437,7.054823
2.1400,0.416198,-0.398986,1.000000,0.195330,6.994929
2.1500,0.412201,-0.384431,1.000000,0.200060,6.922155
2.1600,0.407573,-0.368866,1.000000,0.205118,6.844331
2.1700,0.402343,-0.352386,1.000000,0.210475,6.761929
2.1800,0.396542,-0.335078,1.000000,0.216100,6.675389
2.1900,0.390204,-0.317031,1.000000,0.221965,6.585155
2.2000,0.383365,-0.298333,1.000000,0.228042,6.491666
2.2100,0.376060,-0.279071,1.000000,0.234302,6.395356
2.2200,0.368327,-0.259330,1.000000,0.240718,6.296650
2.2300,0.360205,-0.239192,1.000000,0.247263,6.195958
2.2400,0.351733,-0.218736,1.000000,0.253911,6.093679
